Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Location
F02741 334.291 42.941 2.81e-17 2.58e-17 1.46e-17 25.78 -681.22 UpB06
F02743 334.229 42.415 5.43e-17 3.36e-17 2.09e-17 16.56 -681.36 UpB06
F02735 334.546 42.557 3.78e-17 2.01e-17 1.17e-17 11.35 -681.27 UpB06
F02738 334.612 42.596 4.65e-17 2.53e-17 1.75e-17 10.96 -681.42 UpB06
F02744 334.521 42.434 5.42e-17 3.11e-17 2.05e-17 17.25 -681.35 UpB06
F02740 334.648 42.547 3.22e-17 1.67e-17 1.28e-17 16.14 -681.5 UpB06
F02739 334.696 42.607 4.41e-17 3.45e-17 2.01e-17 12.34 -681.4 UpB06
F02734 334.737 42.614 4.31e-17 2.54e-17 1.98e-17 21.07 -681.38 UpB06
F02736 334.75 42.43 4.66e-17 3.8e-17 1.95e-17 9.77 -681.39 UpB06
F02737 334.777 42.461 4.05e-17 2.66e-17 2.1e-17 14.06 -681.32 UpB06
F02742 334.958 42.54 4.39e-17 2.98e-17 3.3e-17 14.37 -681.32 UpB06
