Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Location
F09402 318.789 19.159 5.36e-17 3.67e-17 2.03e-17 22.22 -637.06 UpC04
F09417 319.39 19.185 5.74e-17 4.5e-17 2.28e-17 19.66 -637.17 UpC04
F09427 319.197 19.073 6.71e-17 4.02e-17 3.78e-17 24.67 -637.3 UpC04
F09423 319.547 19.163 4.22e-17 3.04e-17 2.17e-17 22.07 -637.29 UpC04
F09419 319.509 19.114 4.97e-17 4.21e-17 2.38e-17 29.22 -637.15 UpC04
F09437 319.323 18.99 4.99e-17 3.53e-17 2.78e-17 15.77 -637.24 UpC04
F09421 319.827 19.169 5.9e-17 3.52e-17 2.07e-17 26.65 -637.22 UpC04
F09436 319.771 19.139 4.1e-17 2.92e-17 1.9e-17 19.6 -637.1 UpC04
F09401 319.816 19.133 3.25e-17 2.85e-17 1.9e-17 21.24 -637.23 UpC04
F09428 319.83 19.113 5.5e-17 3.56e-17 1.97e-17 18.77 -637.11 UpC04
F09407 319.834 19.107 5.21e-17 3.59e-17 1.86e-17 17.69 -637.19 UpC04
F09413 319.914 19.133 3.85e-17 3.31e-17 2.02e-17 13.12 -637.18 UpC04
F09408 319.931 19.125 5.1e-17 4.21e-17 2.82e-17 18.98 -637.04 UpC04
F09403 319.951 19.126 3.1e-17 2.97e-17 1.67e-17 22.83 -637.29 UpC04
F09400 319.949 19.118 4e-17 2.77e-17 1.7e-17 23.46 -637.15 UpC04
F09420 319.881 19.079 5.75e-17 2.46e-17 2.01e-17 12.7 -637.33 UpC04
F09418 319.848 19.054 6.18e-17 4.2e-17 1.82e-17 15.87 -637.23 UpC04
F09435 319.965 19.098 2.88e-17 2.31e-17 1.73e-17 13.68 -637.17 UpC04
F09422 319.967 19.084 4.47e-17 3.81e-17 2.22e-17 18.35 -637.14 UpC04
F09411 319.721 18.979 5.59e-17 4.15e-17 2.81e-17 22.31 -637.31 UpC04
F09426 319.949 19.066 4.62e-17 3.14e-17 1.92e-17 13.56 -637.34 UpC04
F09434 319.988 19.076 3.79e-17 3.12e-17 1.46e-17 13.21 -637.08 UpC04
F09409 320.067 19.091 5.62e-17 4.01e-17 2.94e-17 16.34 -637.24 UpC04
F09416 319.827 18.974 4.39e-17 2.8e-17 1.79e-17 17.41 -637.37 UpC04
F09438 320.098 19.077 3.73e-17 2.59e-17 2.24e-17 22.06 -637.39 UpC04
F09404 320.249 19.032 4.16e-17 2.23e-17 1.62e-17 16.72 -637.31 UpC04
F09432 320.173 18.97 3.94e-17 3.32e-17 2.52e-17 16.16 -637.02 UpC04
F09431 319.77 18.803 5.26e-17 3.55e-17 2.02e-17 19.91 -637.13 UpC04
F09410 320.013 19.638 3.88e-17 3.2e-17 2.36e-17 12.54 -637.34 UpC05
F09414 319.293 19.35 3.59e-17 2.38e-17 1.7e-17 18.61 -637.22 UpC05
F09429 319.808 19.416 4.31e-17 3.78e-17 2.57e-17 19.84 -637.26 UpC05
F09430 319.913 19.251 4.22e-17 2.49e-17 1.45e-17 16.79 -637.28 UpC05
F09412 320.07 19.289 7.08e-17 4.22e-17 2.9e-17 20.19 -637.27 UpC05
F09433 320.064 19.236 5.26e-17 2.82e-17 2.6e-17 24.35 -637.12 UpC05
F09405 319.945 19.158 5.75e-17 3.53e-17 2.95e-17 12.98 -637.33 UpC05
F09424 319.942 19.151 5.87e-17 4.99e-17 2.82e-17 15.94 -637.03 UpC05
F09439 320.094 19.181 4.22e-17 2.69e-17 2.62e-17 18.42 -637.07 UpC05
F09406 320.215 19.206 5.15e-17 4.14e-17 1.95e-17 18.4 -637.17 UpC05
F09440 320.27 19.111 4.9e-17 3.21e-17 1.73e-17 18.98 -637.22 UpC05
F09425 320.522 19.069 5.38e-17 3.42e-17 2.27e-17 24.19 -637.06 UpC05
F09415 320.483 19.045 3.99e-17 3.94e-17 2.83e-17 17.71 -637.24 UpC05
